"x","y","z"
"0.00125487","-3.56585e-05","0"
"0.00125487","-3.56585e-05","0"
"0.00125487","-3.56585e-05","0.001"
"0.00240448","-0.00377562","-0.002"
"0.000157892","0.00555646","-0.001"
"0.00256237","0.00178084","0.001"
"0.000105261","0.00370431","-0.001"
"0.00136013","0.00366865","-0.001"
"0.00141276","0.0055208","0"
"-0.00240448","0.00377562","0.002"
"-0.00365935","0.00381128","0.002"
"-0.00496684","0.00199479","0.001"
"-0.00622171","0.00203045","0"
"-0.00365935","0.00381128","-0.001"
"0.00125487","-3.56585e-05","0.006"
"0","0","0.004"
"-0.00114961","0.00373997","0.004"
"-0.00120224","0.00188781","0.002"
"-5.26306e-05","-0.00185215","0"
"0.000105261","0.00370431","0.003"
"-0.00120224","0.00188781","0.002"
"0.0013075","0.0018165","0.001"
"0.00136013","0.00366865","0"
"0.000105261","0.00370431","0.002"
"0.00643223","0.00537817","0.006"
"0.0063796","0.00352602","0.005"
"0.00763447","0.00349036","0.008"
"0.00763447","0.00349036","0.006"
"0.00512473","0.00356167","0.005"
"0.0039225","0.00544949","0.002"
"0.00512473","0.00356167","0.002"
"0.00512473","0.00356167","0.001"
"0.00632697","0.00167386","0.002"
"0.0050721","0.00170952","0.003"
"0.00397513","0.00730164","0.002"
"0.002615","0.00363299","0"
"0.0013075","0.0018165","-0.001"
"0.002615","0.00363299","0"
"0.00386987","0.00359733","0.001"
"0.0063796","0.00352602","0.002"
"0.00151802","0.00922511","0.001"
"0.00386987","0.00359733","0"
"0.0039225","0.00544949","0"
"0.00266763","0.00548514","0"
"0.00747658","-0.0020661","0.001"
"0.00883671","0.00160255","-0.001"
"0.00501947","-0.000142633","0"
"0.00627434","-0.000178291","-0.003"
"0.00627434","-0.000178291","-0.003"
"0.00501947","-0.000142633","-0.007"
"0.00141276","0.0055208","-0.006"
"0.00136013","0.00366865","-0.006"
"0.0013075","0.0018165","-0.008"
"0.00266763","0.00548514","-0.007"
"0.00381724","0.00174518","-0.002"
"0.00381724","0.00174518","0.001"
"0.00386987","0.00359733","0.002"
"0.00381724","0.00174518","0"
"0.0050721","0.00170952","0.002"
"0.0037646","-0.000106975","0.006"
"0.00125487","-3.56585e-05","0.004"
"0.00250974","-7.1316e-05","0.004"
"0.00136013","0.00366865","0.005"
"0.0050721","0.00170952","0.009"
"0.00240448","-0.00377562","0.005"
"0.00120224","-0.00188781","0"
"0.00245711","-0.00192347","0.004"
"0.00120224","-0.00188781","0.003"
"0.00365934","-0.00381128","0.006"
"0.00240448","-0.00377562","0.012"
"0.00486158","-0.00569909","0.015"
"0.00114961","-0.00373996","0.014"
"0.00235184","-0.00562778","0.012"
"0.00109698","-0.00559212","0.012"
"-5.26306e-05","-0.00185215","0.004"
"-5.26306e-05","-0.00185215","0.003"
"0.0013075","0.0018165","0.008"
"5.26304e-05","0.00185215","0.005"
"5.26304e-05","0.00185215","0.007"
"5.26304e-05","0.00185215","0.011"
"0.00136013","0.00366865","0.012"
"0.00136013","0.00366865","0.009"
"0.00141276","0.0055208","0.008"
"0.000157892","0.00555646","0.01"
"0.000105261","0.00370431","-0.001"
"0.0013075","0.0018165","0"
"5.26304e-05","0.00185215","-0.003"
"0.00141276","0.0055208","0"
"0.000105261","0.00370431","-0.002"
"0.00272026","0.0073373","0"
"5.26304e-05","0.00185215","0"
"-0.00611645","0.00573475","-0.002"
"-0.00109698","0.00559212","0"
"0.000157892","0.00555646","0.002"
"-0.00339619","0.013072","0"
"0.000315783","0.0111129","0.001"
"-0.000886457","0.0130007","-0.003"
"-0.00208869","0.0148885","0.003"
"-0.000939087","0.0111486","0.002"
"-0.00344882","0.0112199","-0.006"
"-0.00224659","0.00933208","-0.006"
"-0.00480895","0.00755125","-0.002"
"-0.00355408","0.00751559","-0.004"
"-0.00601119","0.00943906","-0.005"
"-0.00350145","0.00936774","-0.003"
"-0.00606382","0.0075869","-0.002"
"-0.00731869","0.00762256","-0.004"
"-0.00737132","0.00577041","-0.004"
"-0.00606382","0.0075869","-0.001"
"-0.00109698","0.00559212","0.001"
"-0.00109698","0.00559212","0.003"
"5.26304e-05","0.00185215","0.006"
"0","0","0.002"
"0.00136013","0.00366865","0.001"
"0.0013075","0.0018165","-0.002"
"0.000105261","0.00370431","0.002"
"0.00136013","0.00366865","0.001"
"5.26304e-05","0.00185215","0"
"0.0013075","0.0018165","0"
"-0.00235185","0.00562778","0"
"-0.00245711","0.00192347","-0.001"
"-0.00240448","0.00377562","0"
"-0.00114961","0.00373997","-0.002"
"-0.00114961","0.00373997","-0.002"
"-0.00486158","0.00569909","-0.01"
"-0.00486158","0.00569909","-0.009"
"-0.00480895","0.00755125","-0.01"
"-0.00486158","0.00569909","-0.011"
"-0.00360672","0.00566344","-0.013"
"-0.00350145","0.00936774","-0.008"
"-0.00480895","0.00755125","-0.009"
"-0.000991718","0.00929643","-0.009"
"-0.00219396","0.0111842","-0.009"
"-0.00229922","0.00747993","-0.01"
"0.000368414","0.0129651","-0.006"
"0.00282552","0.0110416","-0.005"
"-0.00219396","0.0111842","-0.007"
"-0.00104435","0.00744427","-0.005"
"0.000210522","0.00740861","-0.009"
"-0.00616908","0.0038826","-0.006"
"-0.00360672","0.00566344","-0.007"
"-0.00486158","0.00569909","-0.009"
"-0.00480895","0.00755125","-0.011"
"-0.00873145","0.00210176","-0.008"
"-0.0156374","-0.0199458","-0.009"
"-0.0214989","-0.0494376","0"
"-0.0361972","-0.080532","-0.015"
"-0.0497459","-0.115366","-0.019"
"-0.0761064","-0.159105","-0.025"
"-0.0993865","-0.227028","-0.018"
"-0.14421","-0.301754","-0.02"
"-0.163883","-0.375341","0.01"
"-0.203748","-0.496549","-0.011"
"-0.293403","-0.690488","0.037"
"-0.39974","-0.896929","0.05"
"-0.458408","-1.1937","-0.012"
"-0.550764","-1.57107","-0.01"
"-0.647253","-1.9613","0.041"
"-0.628346","-2.35667","-0.047"
"-0.650017","-2.76571","-0.014"
"-0.642606","-3.12367","0.035"
"-0.586835","-3.5034","0.004"
"-0.540155","-3.84951","0.004"
"-0.410584","-4.10714","-0.037"
"-0.329007","-4.33004","-0.184"
"-0.24162","-4.52531","-0.189"
"-0.207043","-4.72278","-0.125"
"-0.118235","-4.86803","-0.111"
"-0.0824919","-4.98026","-0.118"
"-0.0682395","-5.09745","-0.033"
"-0.0295047","-5.1486","-0.019"
"-0.011629","-5.18247","-0.021"
"0.0156015","-5.24071","-0.026"
"0.0483777","-5.28057","-0.041"
"0.118335","-5.29368","-0.137"
"0.119642","-5.29186","-0.153"
"0.105373","-5.26365","-0.149"
"0.070403","-5.21261","-0.167"
"0.0283772","-5.14468","-0.133"
"-0.0337708","-5.03355","-0.147"
"-0.107941","-4.90354","-0.129"
"-0.196275","-4.74162","-0.149"
"-0.319062","-4.55462","-0.148"
"-0.471702","-4.3575","-0.111"
"-0.634846","-4.13228","-0.139"
"-0.823088","-3.90635","-0.129"
"-1.06267","-3.67525","-0.11"
"-1.34121","-3.44489","-0.095"
"-1.63329","-3.20489","-0.096"
"-2.00182","-3.00349","-0.002"
"-2.39932","-2.80498","0.003"
"-2.82872","-2.66858","0.012"
"-3.24997","-2.51017","-0.027"
"-3.77972","-2.45804","0.001"
"-4.33275","-2.42935","0.052"
"-4.88265","-2.423","-0.009"
"-5.45871","-2.54194","0.037"
"-6.07222","-2.6969","0.064"
"-6.6644","-2.89695","0.038"
"-7.2827","-3.22045","0.076"
"-7.93906","-3.5577","0.062"
"-8.56051","-3.99233","0.099"
"-9.1701","-4.45139","0.138"
"-9.80202","-4.90055","0.104"
"-10.4403","-5.4867","0.15"
"-11.0336","-6.12233","0.212"
"-11.6488","-6.6906","0.186"
"-12.2722","-7.23825","0.182"
"-12.8182","-7.88819","0.148"
"-13.3824","-8.52093","0.15"
"-14.03","-9.07716","0.103"
"-14.6529","-9.69712","0.128"
"-15.2714","-10.3376","0.121"
"-15.9441","-10.9394","0.037"
"-16.6627","-11.5233","0.043"
"-17.3369","-12.1344","-0.003"
"-18.1025","-12.6465","-0.083"
"-18.8954","-13.104","-0.173"
"-19.7021","-13.6057","-0.191"
"-20.5556","-13.9855","-0.249"
"-21.4437","-14.3459","-0.25"
"-22.3595","-14.6646","-0.281"
"-23.2786","-14.9221","-0.291"
"-24.2467","-15.1356","-0.239"
"-25.2423","-15.2556","-0.298"
"-26.2816","-15.3706","-0.202"
"-27.2939","-15.3696","-0.184"
"-28.3241","-15.2977","-0.132"
"-29.3778","-15.2066","-0.09"
"-30.436","-15.1024","-0.042"
"-31.4996","-14.922","-0.053"
"-32.5797","-14.832","0.079"
"-33.6739","-14.6674","0.166"
"-34.7788","-14.4803","0.216"
"-35.9464","-14.3341","0.158"
"-37.0887","-14.1385","0.229"
"-38.1999","-14.1291","0.449"
"-39.4337","-13.8383","0.32"
"-40.6423","-13.6779","0.319"
"-41.9079","-13.5789","0.322"
"-43.1028","-13.4207","0.373"
"-44.3442","-13.265","0.45"
"-45.6151","-13.0861","0.463"
